1,Lakemont Community Park,5280 Village Park Drive SE,Bellevue,,2,0,0,,47.5565,-122.1135,5
2,Lakemont Highlands Park,6250 160th Ave SE,Bellevue,,1,0,0,,47.547,-122.1303,5
3,Edmonds-Woodway High School (New),7600 212th St SW,Edmonds,,5,1,0,,47.8045,-122.337,5
4,Edmonds-Woodway High School (Old),23200 100th Ave W,Edmonds,,4,0,0,,47.787917,-122.368,5
5,Yost Park,9500 Bowdoin Way,Edmonds,,2,0,0,,47.807257,-122.36,5
6,Inglemoor High School,15500 Simonds Rd SE,Kenmore,,6,0,0,,47.742292,-122.222182,5
7,East Hill Park,23200 104th Ave SE,Kent,,2,0,0,,47.394,-122.205,5
8,Garrison Creek Park,9600 S 218th St,Kent,,5,0,0,,47.406,-122.2105,5
9,Glenn Nelson Park,26550 Military Rd S,Kent,,2,0,0,,47.3625,-122.291,5
10,Kent Memorial Park,900 Central Ave N,Kent,,2,0,0,,47.3905,-122.2307,5
11,Kent Meridian High School,10020 SE 256th St,Kent,,9,1,0,,47.3755,-122.2067746,5
12,Turnkey Park,10920 SE 248th St,Kent,,1,0,0,,47.38,-122.1955,5
13,West Fenwick Park,3900 Reith Rd,Kent,,2,0,0,,47.371,-122.283,5
14,Juanita Beach Park,9450 Juanita Dr NE,Kirkland,,2,1,0,,47.7055,-122.2155,5
15,Lake Washington High School,12100 NE 80th,Kirkland,,6,0,0,,47.6745,-122.18,5
16,Lake Forest Park Elementary School,18500 37th Ave NE,Lake Forest Park,,2,0,0,,47.763,-122.287,5
17,Lynndale Park,18927 72nd Ave W,Lynnwood,,4,1,0,,47.828463,-122.3315,5
18,Preston Park,19080 3rd Ave NW,Shoreline,,2,0,0,,47.768537,-122.363588,5
19,East Lake High School,400 228th NE,Redmond,,8,1,0,,47.614,-122.029,5
20,Perrigo Park,9108 196th Ave NE,Redmond,,3,1,0,,47.684,-122.082,5
21,Hazen High School,4931 NE 10th St,Renton,,4,0,0,,47.5,-122.152,5
22,Kiwanis Park,891 Union Ave NE,Renton,,2,0,0,,47.497,-122.1644621,5
23,Liberty Park,1222 Bronson Way N,Renton,,3,1,0,,47.483,-122.201,5
24,McKnight Middle School,1300 Edmonds Ave NE,Renton,,4,0,0,,47.504,-122.185,5
25,Skyway Park,7150 S 125th St ,Renton,,1,0,0,,47.491,-122.2445,5
26,Talbot Hill Reservoir Park,710 S 19th St,Renton,,3,0,0,,47.462,-122.2086674,5
27,Bill Reams East Sammamish Park,20348 NE 16th St,Sammamish,,1,0,0,,47.624472,-122.068797,5
28,Eastlake High School,400 228th Ave NE,Sammamish,,8,0,0,,47.614,-122.029,5
29,NE Sammamish Neighborhood Park,3608 Sahalee Way,Sammamish,,2,0,0,,47.6426,-122.056,5
30,Skyline High School,1274 228th Ave SE,Sammamish,,8,0,0,,47.5985,-122.035,5
31,Innis Arden Community Center,1350 NW 188th St,Shoreline,,2,0,1,,47.766,-122.375,5
32,Shoreline Community Center,19030 1st Ave NE,Shoreline,,4,1,1,,47.767,-122.3295,5
33,Woodinville High School,19819 136th Ave NE,Woodinville,,6,1,1,,47.7705,-122.1585,5
34,Northwest Center,2919 1st Ave W,Seattle,Queen Anne,4,0,0,,47.646489,-122.35994,5
35,David Rodgers Park,2750 1st Ave W,Seattle,Queen Anne,3,0,1,,47.6449,-122.3585,5
36,Dearborn Park,5472 30th Ave S,Seattle,Greater Duwamish,2,0,0,,47.5523,-122.295,5
37,Delridge PF,4470 26 Ave SW,Seattle,Delridge,2,0,0,,47.563324,-122.365007,5
38,Discovery Park,4020 36th Ave W,Seattle,Magnolia,2,0,0,,47.656752,-122.404813,5
39,Hiawatha PF,4200 SW Lander St SW,Seattle,Southwest,3,1,1,,47.579,-122.3855,5
40,Hutchinson PG,5810 S Pilgrim St,Seattle,Southeast,2,0,0,,47.515,-122.26,5
41,I-90 Lid/Sam Smith,2850 S Atlantic St,Seattle,Southeast,2,0,0,,47.59,-122.296,5
42,Kinnear Park,505 W Olympic Pl,Seattle,Queen Anne,1,0,0,,47.626364,-122.365044,5
43,Madison Park,1820 42nd Ave E,Seattle,Madison Park,2,1,0,,47.635,-122.278,5
44,Montlake PF,1600 E Calhoun St,Seattle,Montlake,2,0,0,,47.6415,-122.3105,5
45,Rainier Beach PF,8802 Rainier Ave S,Seattle,Southeast,4,1,0,,47.523939,-122.273728,5
46,Solstice Park,7400 Fauntleroy Way SW,Seattle,Southwest,6,1,1,,47.536326,-122.391762,5
47,South Park PG,8300 7th Ave S,Seattle,Greater Duwamish,2,0,0,,47.52844,-122.325253,5
48,Volunteer Park,1080 E Galer St,Seattle,Capitol Hill,4,1,1,,47.631699,-122.317523,5
49,Grasslawn Park,7031 148th Ave NE,Redmond,,6,1,0,,47.669491,-122.144966,4
50,Green Lake Park,7400 E Greenlake Dr N,Seattle,Green Lake,3,0,0,,47.681606,-122.328376,4
51,Green Lake Park,7272 W Greenlake Dr N,Seattle,,2,0,0,,47.681339,-122.342752,2
52,Laurelhurst PF,4524 NE 41st St,Seattle,Northeast,4,1,1,,47.659029,-122.278862,4
53,Hartman Park,10278 176th Ave NE,Redmond,,2,0,0,,47.691374,-122.105849,4
54,Marymoor Park,NE Marymoor Way,Redmond,,4,0,0,,47.665084,-122.122328,3
55,Ravenna Park,5520 Ravenna Ave NE,Seattle,Northeast,2,0,1,,47.669489,-122.302994,2
56,Redmond High School,17500 NE 104th St,Redmond,,6,1,0,,47.693248,-122.108638,4
57,Redmond Junior HS,10050 166th Ave NE,Redmond,,6,0,0,,47.690056,-122.118605,3
58,Reservoir Park,16317 NE 95th St,Redmond,,3,0,0,,47.685347,-122.122039,4
