1,Solstice Park,7400 Fauntleroy Way SW,Seattle,Southwest,6,1,1,0,47.526446,-122.395248,0
2,Lowman Beach Park,7004 Beach Dr. SW,Seattle,Southwest,1,0,0,0,47.5406959,-122.3964507,0
3,High Point PF,6960 34th Ave SW,Seattle,Southwest,2,0,0,0,47.540774,-122.375199,0
4,Hiawatha PF,4200 SW Lander St SW,Seattle,Southwest,3,1,1,0,47.5792893,-122.3866003,0
5,Alki PG,2700 59th Ave SW,Seattle,Southwest,2,1,0,0,47.579434,-122.4067745,0
6,Rainier PF,3570 S Oregon St ,Seattle,Southeast,4,1,0,0,47.5607458,-122.2869484,0
7,Rainier Beach PF,8802 Rainier Ave S,Seattle,Southeast,4,1,0,0,47.523758,-122.274233,0
8,Mt. Baker Park,2600 Lake Park Dr. S,Seattle,Southeast,2,1,0,0,47.583083,-122.287424,0
9,Hutchinson PG,5810 S Pilgrim St,Seattle,Southeast,2,0,0,0,47.5134057,-122.259347,0
10,I-90 Lid/Sam Smith,2850 S Atlantic St,Seattle,Southeast,2,0,0,0,47.5906494,-122.2974102,0
11,Brighton PF,6100 39th Ave S,Seattle,Southeast,2,0,0,0,47.5488114,-122.2833643,0
12,Amy Yee Tennis Center,1910 28th Ave S,Seattle,Southeast,4,0,0,0,47.5854774,-122.2980979,0
13,Kinnear Park,505 W Olympic Pl,Seattle,Queen Anne,1,0,0,0,47.6286944,-122.3687037,0
14,David Rodgers Park,2920 3rd Ave W,Seattle,Queen Anne,4,0,1,0,47.6449732,-122.3581563,0
15,Bitter Lake PF,750 N 130th St,Seattle,Northwest,4,1,0,0,47.723025,-122.3493008,0
16,University PG,780 NE 50th St,Seattle,Northeast,2,0,1,0,47.6649424,-122.3183692,3
17,Ravenna Park,5520 Ravenna Ave NE,Seattle,Northeast,2,0,1,0,47.66886,-122.303884,2
18,Ravenna-Eckstein,6550 21st Ave NE,Seattle,Northeast,1,0,0,0,47.6768887,-122.3038604,1
19,Magnuson Park,6500 Sand Point Way NE,Seattle,Northeast,6,0,0,0,47.681309,-122.252319,0
20,Laurelhurst PF,4524 NE 41st St,Seattle,Northeast,4,1,1,0,47.6584203,-122.2782839,0
21,Froula PG,7120 12th Ave NE,Seattle,Northeast,2,0,0,0,47.681601,-122.313597,0
22,Cowen Park,5849 15th Ave NE,Seattle,Northeast,1,0,0,0,47.672179,-122.311252,0
23,Bryant PG,4103 NE 65th St,Seattle,Northeast,2,0,0,0,47.6757679,-122.2839728,0
24,Victory Heights PG,1737 NE 106th St,Seattle,North,1,0,0,0,47.7058481,-122.3086865,0
25,Meadowbrook PF,10528 30th Ave NE,Seattle,North,6,1,0,0,47.705195,-122.2908613,0
26,Montlake PF,1600 E Calhoun St,Seattle,Montlake,2,0,0,0,47.6424049,-122.310084,0
27,Magnolia Park,3130 W Howe St,Seattle,Magnolia,2,0,0,0,47.6337117,-122.3974003,0
28,Magnolia PF,2518 34th Ave W,Seattle,Magnolia,4,0,0,0,47.6407671,-122.4009635,0
29,Discovery Park,4020 36th Ave W,Seattle,Magnolia,2,0,0,0,47.658311,-122.404534,0
30,Madison Park,1820 42nd Ave E,Seattle,Madison Park,2,1,0,0,47.6397332,-122.2770636,0
31,Wallingford PF,4219 Wallingford Ave N,Seattle,Lake Union,2,0,0,0,47.6582048,-122.3362464,3
32,Green Lake Park,7400 East Green Lake Dr N,Seattle,Green Lake,3,0,0,0,47.678839,-122.328837,4
33,Woodland Park (Upper),1200 N 50th St,Seattle,Green Lake,4,0,0,0,47.6650437,-122.3437252,4
34,Woodland Park (Lower),5776 West Green Lake Way N,Seattle,Green Lake,10,1,0,0,47.6709606,-122.3433287,5
35,South Park PG,8300 7th Avenue S,Seattle,Greater Duwamish,2,0,0,0,47.5273328,-122.3239448,0
36,Georgetown PF,770 S Findlay St,Seattle,Greater Duwamish,1,0,0,0,47.5515041,-122.3230739,0
37,Dearborn Park,5472 30th Ave S,Seattle,Greater Duwamish,2,0,0,0,47.5535823,-122.2963338,0
38,Cleveland High School,5500 13th Ave S,Seattle,Greater Duwamish,2,0,0,0,47.552298,-122.314523,0
39,Riverview PF,6920 12th Ave SW,Seattle,Delridge,2,0,0,0,47.5379612,-122.3504186,0
40,Highland Park PG,1130 SW Cloverdale St,Seattle,Delridge,1,0,0,0,47.5265117,-122.3493104,0
41,Delridge PF,4478 26th Ave SW,Seattle,Delridge,2,0,0,0,47.5633615,-122.3633512,0
42,Garfield PF,2500 E Cherry St,Seattle,Central Area,2,1,0,0,47.6062095,-122.3320708,0
43,Madrona Playfield,1100 33rd Ave,Seattle,Central,2,1,0,0,47.6116412,-122.2893283,0
44,Leschi Park,80 Lake Washington Blvd,Seattle,Central,1,0,0,0,47.6010204,-122.2855927,0
45,Volunteer Park,1080 E Galer St,Seattle,Capitol Hill,4,1,1,0,47.6309191,-122.3125374,0
46,Miller PF,310 19th Ave E,Seattle,Capitol Hill,2,1,0,0,47.6220802,-122.3073085,0
47,Jefferson Park,3780 Beacon Ave S,Seattle,Beacon Hill,2,1,0,0,47.5666285,-122.3127227,0
48,Beacon Hill PG,1350 S Grand St,Seattle,Beacon Hill,2,0,1,0,47.5860749,-122.3159727,0
49,Soundview PF,1700 NW 90th St ,Seattle,Ballard,2,0,1,0,47.6946951,-122.3777803,0
50,Gilman PG,5220 11th Ave NW,Seattle,Ballard,2,0,1,0,47.6678798,-122.3688677,0
51,Bobby Morris PF,1650 Broadway Ave,Seattle,First Hill & Capitol Hill,3,1,0,0,47.6234317,-122.3195706,0
52,Preston Park,City Park,Preston,Shoreline,2,0,0,0,47.523515,-121.929546,0
53,Kamiak High School,4800 Chennault Beach Rd,Mukilteo,,6,1,0,0,47.9445396,-122.3045815,0
54,Evergreen Playfield,5420 224th SW,Mountlake Terrace,,4,1,0,0,47.7977006,-122.3085113,0
55,Ballinger Park,23000 Lakeview Drive,Mountlake Terrace,,2,0,0,0,47.790288,-122.326192,0
56,Highlands Park,16250 29th Drive SE,Mill Creek,,1,0,0,0,47.851854,-122.193007,0
57,Heron Park,2803 155th St SE,Mill Creek,,1,0,0,0,47.8575447,-122.1964076,0
58,Henry M Jackson High School,1508 136th St SE,Mill Creek,,14,1,0,0,47.873972,-122.208996,0
59,Luther Burbank Park,2000 84th Ave SE,Mercer Island,,3,0,0,0,47.589914,-122.227707,0
60,Mercer Island Lid Park,2020 W Mercer Way,Mercer Island,,4,1,0,0,47.5837547,-122.2208339,0
61,Homestead Park,8835 SE 40th St,Mercer Island,,6,1,0,0,47.5745201,-122.226326,0
