1,Edmonds-Woodway High School (New),7600 212th St SW,Edmonds,,5,1,0,,47.8045,-122.337,4
2,Edmonds-Woodway High School (Old),23200 100th Ave W,Edmonds,,4,0,0,,47.787917,-122.368,4
3,Yost Park,9500 Bowdoin Way,Edmonds,,2,0,0,,47.807257,-122.36,3
4,Inglemoor High School,15500 Simonds Rd SE,Kenmore,,6,0,0,,47.742292,-122.222182,3
5,East Hill Park,23200 104th Ave SE,Kent,,2,0,0,,47.394,-122.205,4
6,Garrison Creek Park,9600 S 218th St,Kent,,5,0,0,,47.406,-122.2105,2
7,Glenn Nelson Park,26550 Military Rd S,Kent,,2,0,0,,47.3625,-122.291,3
8,Kent Memorial Park,900 Central Ave N,Kent,,2,0,0,,47.3905,-122.2307,4
9,Kent Meridian High School,10020 SE 256th St,Kent,,9,1,0,,47.3755,-122.2067746,4
10,Turnkey Park,10920 SE 248th St,Kent,,1,0,0,,47.38,-122.1955,3
11,West Fenwick Park,3900 Reith Rd,Kent,,2,0,0,,47.371,-122.283,3
12,Juanita Beach Park,9450 Juanita Dr NE,Kirkland,,2,1,0,,47.7055,-122.2155,3
13,Lake Washington High School,12100 NE 80th,Kirkland,,6,0,0,,47.6745,-122.18,4
14,Lynndale Park,18927 72nd Ave W,Lynnwood,,4,1,0,,47.828463,-122.3315,3
15,Albert Einstein Middle School,19080 3rd Ave NW,Shoreline,,2,0,0,,47.768537,-122.363588,4
16,East Lake High School,400 228th NE,Redmond,,8,1,0,,47.614,-122.029,4
17,Perrigo Park,9108 196th Ave NE,Redmond,,3,1,0,,47.684,-122.082,4
18,Hazen High School,4931 NE 10th St,Renton,,4,0,0,,47.5,-122.152,4
19,Kiwanis Park,891 Union Ave NE,Renton,,2,0,0,,47.497,-122.1644621,3
20,Liberty Park,1222 Bronson Way N,Renton,,3,1,0,,47.483,-122.201,4
21,McKnight Middle School,1300 Edmonds Ave NE,Renton,,4,0,0,,47.504,-122.185,3
22,Skyway Park,7150 S 125th St ,Renton,,1,0,0,,47.491,-122.2445,2
23,Talbot Hill Reservoir Park,710 S 19th St,Renton,,3,0,0,,47.462,-122.2086674,3
24,Eastlake High School,400 228th Ave NE,Sammamish,,8,0,0,,47.614,-122.029,4
25,NE Sammamish Neighborhood Park,3608 Sahalee Way,Sammamish,,2,0,0,,47.6426,-122.056,3
26,Innis Arden Community Center,1350 NW 188th St,Shoreline,,2,0,1,,47.766,-122.375,3
27,Shoreline Community Center,19030 1st Ave NE,Shoreline,,4,1,1,,47.767,-122.3295,4
28,Woodinville High School,19819 136th Ave NE,Woodinville,,6,1,1,,47.7705,-122.1585,4
29,Northwest Center,2919 1st Ave W,Seattle,Queen Anne,4,0,0,,47.646489,-122.35994,3
30,David Rodgers Park,2750 1st Ave W,Seattle,Queen Anne,3,0,1,,47.6449,-122.3585,3
31,Dearborn Park,5472 30th Ave S,Seattle,Greater Duwamish,2,0,0,,47.5523,-122.295,3
32,Delridge PF,4470 26 Ave SW,Seattle,Delridge,2,0,0,,47.563324,-122.365007,4
33,Discovery Park,4020 36th Ave W,Seattle,Magnolia,2,0,0,,47.656752,-122.404813,2
34,Hiawatha PF,4200 SW Lander St SW,Seattle,Southwest,3,1,1,,47.579,-122.3855,3
35,Hutchinson PG,5810 S Pilgrim St,Seattle,Southeast,2,0,0,,47.514984,-122.260333,2
36,I-90 Lid/Sam Smith,2850 S Atlantic St,Seattle,Southeast,2,0,0,,47.590111,-122.29617,3
37,Kinnear Park,505 W Olympic Pl,Seattle,Queen Anne,1,0,0,,47.626364,-122.365044,3
38,Madison Park,1820 42nd Ave E,Seattle,Madison Park,2,1,0,,47.635,-122.278,4
39,Montlake PF,1600 E Calhoun St,Seattle,Montlake,2,0,0,,47.6415,-122.3105,4
40,Rainier Beach PF,8802 Rainier Ave S,Seattle,Southeast,4,1,0,,47.523939,-122.273728,4
41,Solstice Park,7400 Fauntleroy Way SW,Seattle,Southwest,6,1,1,,47.536326,-122.391762,4
